JAVA DEVELOPER,Công ty TNHH Linagora,18/07/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
TESTER,Công ty TNHH Công nghệ cao Itechpro,18/06/2021,8-10 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Nữ,Hai Bà Trưng
NHÂN VIÊN KINH DOANH,Công ty cổ phần phần mềm MeKong,20/05/2021,Thoả thuận,Toàn thời gian,4 người,Nhân viên,2 năm,Không yêu cầu,Kiên Giang
FRONTEND DEVELOPER,Công ty TNHH Thương Mại và Dịch Vụ Tri Thức Mới,19/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN KỸ THUẬT,CÔNG TY CỔ PHẦN VŨ HOÀNG TELECOM,18/06/2021, 6-10 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
NHÂN VIÊN KIỂM THỬ PHẦN MỀM,CÔNG TY CỔ PHẦN DREAM VIET EDUCATION,19/05/2021,9-15 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
TESTER,Công ty TNHH Thương Mại và Dịch Vụ Tri Thức Mới,19/05/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,2 năm,Nữ,Hà Nội
Công ty TNHH TM&DV DND,,31/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN KIỂM THỬ PHẦN MỀM,Công ty TNHH 1 thành viên công nghệ và truyền thông 3i,19/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
TESTER,Công Ty TNHH Tester Việt,14/05/2021,12-30 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
QUẢN TRỊ HỆ THỐNG,Công ty CP Cyberlotus,"7/06/2021
",8-12 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
Công ty TNHH 1 thành viên công nghệ và truyền thông 3i,,19/05/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
LẬP TRÌNH VIÊN JAVA,Công ty TNHH 1 thành viên công nghệ và truyền thông 3i,19/05/2021,6-17 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
Công Ty Truyền Thông Và Công Nghệ ICOMM Việt Nam,,19/05/2021,7-12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
UI/UX,Công ty cổ phần Vietsoftpro,19/05/2021,8-20 triệu,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
LẬP TRÌNH VIÊN MOBILE,Công ty cổ phần Vietsoftpro,19/05/2021,10-20 triệu,Toàn thời gian,Không giới hạn,Nhân viên,2 năm,Không yêu cầu,Ba Đình
NHÂN VIÊN NHẬP LIỆU,Công ty cổ phần trực tuyến Vilink,19/05/2021,Thoả thuận,Toàn thời gian,50 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
PHÂN TÍCH NGHIỆP VỤ,Công ty Cổ phần Workway,19/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
BACKEND DEVELOPER,CÔNG TY CỔ PHẦN CÔNG NGHỆ QUỐC TẾ MH SOLUTION,19/05/2021,10-15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
ANDROID DEVELOPER,Công ty Cổ Phần Rikkeisoft,18/06/2021,Tới 35 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN KIỂM THỬ PHẦN MỀM,Codelovers Vietnam,19/05/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
Công ty TNHH Giáo Dục Ms Lan English,,19/05/2021,8-12 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
CÔNG TY CỔ PHẦN CHILI,,19/05/2021,11-15 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
Công ty cổ phần truyền thông Việt Nam (VCcorp),,19/05/2021,15-20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
JAVA DEVELOPER,Công ty Cổ phần Công nghệ HiveTech,19/05/2021,12-45 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
Công ty Cổ phần Thương Mại và Dịch vụ VNTIS Việt Nam,04/06/2021,Trên 6 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Nữ,Hà Nội,
NODEJS,Công ty cổ phần Công nghệ Haravan,06/06/2021,Thoả thuận,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
BUSINESS ANALYST,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,"9/06/2021
",Thoả thuận,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
JAVASCRIPT DEVELOPER,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,09/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
JAVA,IFI Solution,19/05/2021,Trên 7 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
NHÂN VIÊN IT,Công ty TNHH Ngân Anh Phát,04/06/2021,Thoả thuận,Toàn thời gian,3 người,Nhân viên,Không yêu cầu,Không yêu cầu,Đồng Nai
IOS,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,17/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN CÔNG NGHỆ GIẢI PHÁP THI THIÊN,18/05/2021,10-20 triệu,Toàn thời gian,4 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
LẬP TRÌNH VIÊN,"MMG VIET NAM ., JSC",17/06/2021,Tới 15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
LẬP TRÌNH VIÊN PHP,Công ty Cổ phần Vinno Việt Nam,17/06/2021,8-15 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
CONTENT MARKETING,Công ty CP phần mềm Châu Á Thái Bình Dương,05/06/2021,Tới 15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
Công ty TNHH ứng dụng và triển khai phần mềm Li Ha Net,16/05/2021,Tới 15 triệu,Toàn thời gian,4 người,Nhân viên,1 năm,Không yêu cầu,Bình Định,
NHÂN VIÊN IT,Công ty Cổ phần Thuận Đức,16/05/2021,10-25 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Nam,Hưng Yên
NODEJS,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,16/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
CHUYÊN VIÊN IT,CÔNG TY TNHH TMDV SA GA,16/05/2021,15-20 triệu,Toàn thời gian,1 người,Trưởng nhóm,2 năm,Nam,Quận 7
FRONTEND DEVELOPER,Công ty cổ phần ứng dụng phần mềm mobio việt nam,16/05/2021,14-27 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VŨ GIA ANH,18/06/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội,
UI/UX,Công ty Cổ phần Công nghệ HiveTech,16/05/2021,10-20 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
JAVA,Công ty Cổ phần Công nghệ HiveTech,16/05/2021,12-25 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
AI ENGINEER,Công ty Cổ Phần Rikkeisoft,16/05/2021,Tới 30 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
PHÂN TÍCH DỮ LIỆU,Nhất Tín Logistics,16/05/2021,15-25 triệu,Toàn thời gian,2 người,Trưởng nhóm,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
NODEJS,Công ty CP MindBank Group,16/05/2021,Tới 30 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
UI/UX DESIGNER,3S Intersoft JSC,16/05/2021,10-20 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
CÔNG TY TNHH MONSTAR LAB VIỆT NAM,"6/05/2021
",Tới 5 triệu,Thực tập,Không giới hạn,Thực tập sinh,Không yêu cầu,Nam,Hà Nội,
CHUYÊN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ IMEDIA,03/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN KINH DOANH,Công ty TNHH DIGIUNI VIETNAM,13/05/2021,7-20 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
MARKETING EXECUTIVE,Công ty Cổ phần liên doanh Ciber-CMC,19/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,4 năm,Không yêu cầu,Hà Nội
NHÂN VIÊN MARKETING,Công ty TNHH QT - DATA VN,16/05/2021,Thoả thuận,Remote - Làm việc từ xa,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Đà Nẵng
REACT NATIVE DEVELOPER,FETCH VIETNAM,16/05/2021, Tới 30 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
LẬP TRÌNH VIÊN PHP,Công ty cổ phần MCG,16/05/2021,Tới 30 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
ANDROID DEVELOPER,Công ty Cổ Phần Con Cưng,24/05/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
BUSINESS ANALYST,CÔNG TY CỔ PHẦN CNV HOLDINGS,16/05/2021,15-25 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
