,company,title,date,salary,workingform,target,position,experience,sex,city
0,LẬP TRÌNH VIÊN JAVA,Công ty TNHH Paraline Việt Nam,06/06/2021,16-30 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
1,LẬP TRÌNH VIÊN PHP,Tigren Solutions,16/06/2021,Tới 50 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
2,MARKETING,CÔNG TY TNHH E.I.G,23/05/2021,Thoả thuận,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
3,CONTENT WRITER,Phòng Khám Da Liễu Sài Gòn,06/08/2021,Trên 7 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
4,NHÂN VIÊN KINH DOANH,Công ty Cổ phần Chứng thực số Toàn Cầu Việt Nam,19/05/2021,7-20 triệu,Toàn thời gian,5 người,Nhân viên,Không yêu cầu,Nam,Hà Nội
5,CÔNG TY TNHH VAREAL VIỆT NAM,,05/06/2021,Thoả thuận,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
6,ASP.NET,Crossian,23/05/2021,20-45 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
7,ANDROID,Công ty cổ phần SEGU Việt Nam,19/05/2021,Tới 17 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
8,FRONT-END DEVELOPER,Công ty TNHH GrExpress,27/05/2021,Tới 40 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
9,LẬP TRÌNH VIÊN JAVA,Công ty cổ phần Telsoft,16/06/2021,Trên 15 triệu,Toàn thời gian,5 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
10,CHUYÊN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN HTC VIỄN THÔNG QUỐC TẾ,03/06/2021,Tới 50 triệu,Toàn thời gian,20 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
